Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C403",0603,3,1u,C15849
"C103, C104, C106, C107, C108",0805,5,22u,C45783
C105,0402,1,DNP,
"C109, C203, C204, C207, C208, C209, C210, C211, C212, C213, C214, C215, C217, C304, C307, C308, C309, C310, C315, C402, C407",0402,21,100n,C1525
"C201, C202",0402,2,30pF,C1570
"C205, C206, C216",0402,3,1u,C52923
"C301, C302, C305, C306, C312, C401",0603,6,10u,C96446
"C303, C314, C316, C406",0402,4,150p,C1527
"C311, C313, C404, C405",0402,4,1n,C1523
D101,0603,1,3.3V,C72043
D102,0603,1,3.3VA,C72043
"D201, D202, D203, D204, D301, D401",D_SOD-323,6,PESD3V3L1BA,
D205,0603,1,Act,C72043
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,GND,
J201,PinHeader_2x05_P1.27mm_Vertical_SMD,1,2x5 1.27mm,C598540
J202,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"J301, J401",AMPHENOL-BNC-031-5640-1010,2,031-5640-1010,
L101,0402,1,10n,C361500
L102,MWSA0603S,1,68u,C408441
L201,CMC-1206,1,CMF3216F-900-2P-T,C963740
R101,0805,1,10R,C17415
R102,0402,1,464k,C321525
R103,0402,1,100k,C25741
"R104, R105, R106, R107, R203, R209, R210, R211, R302, R309, R310",0402,11,1k,C11702
"R201, R202",0402,2,27,C321419
"R204, R205, R206, R406",0402,4,49R9,C25120
"R207, R208",0402,2,5k1,C25905
R301,0805,1,49R9,C17720
"R303, R304",0402,2,2M2,C174169
"R305, R403",0402,2,6k8,C25917
"R306, R401",0402,2,0R,C17168
"R307, R404",0402,2,22k,C25768
"R308, R405",0402,2,12k,C25752
"R213, R402",0402,2,10k,C25744
SW201,SW_TL3365AF180QG,1,RESET,C2886926
SW202,SW_TL3365AF180QG,1,BOOTSEL,C2886926
TP102,TestPoint_Pad_D1.0mm,1,5V,
TP103,TestPoint_Pad_D1.0mm,1,3.3V,
TP104,TestPoint_Pad_D1.0mm,1,3.3VA,
TP105,TestPoint_Pad_D1.0mm,1,VCOM,
U101,SOT-23-5,1,TLV62569DBV,C141836
U102,SOT-89-3,1,HT7533-1,C14289
"U103, U302, U304, U402",SOT-23-5,4,TLV9001IDBVR,C398363
U201,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U202,SOT-23-6,1,USBLC6-2SC6,C5261088
U203,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U301,SOT-23,1,REF3033AIDBZT,C2872391
U303,VSSOP-10,1,ADC141S626CIMM_NOPB,C206494
U401,VSSOP-10,1,DAC7562SDGSR,C1554786
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
